,회사명,거래소코드,회계년도,토빈Q
455,(주)나노엔텍,039860,2011,2.120915632585316
456,(주)나노엔텍,039860,2012,2.118696412410143
457,(주)나노엔텍,039860,2013,2.6179518450146904
458,(주)나노엔텍,039860,2014,3.0666909923922026
459,(주)나노엔텍,039860,2015,3.4491696129495604
460,(주)나노엔텍,039860,2016,2.956555308104985
461,(주)나노엔텍,039860,2017,3.7858891113634074
462,(주)나노엔텍,039860,2018,2.8715506184027477
463,(주)나노엔텍,039860,2019,3.2327786561804666
464,(주)나노엔텍,039860,2020,4.678592589781967
465,(주)나노엔텍,039860,2021,3.426237112313117
466,(주)나노트로닉스,010670,2011,1.7872134198437455
467,(주)나노트로닉스,010670,2012,1.9298767585876395
468,(주)나무가,190510,2015,1.4984519590443948
469,(주)나무가,190510,2016,1.5440762681808613
470,(주)나무가,190510,2017,1.285207963412668
471,(주)나무가,190510,2018,1.249403154112802
472,(주)나무가,190510,2019,1.6051608257512198
473,(주)나무가,190510,2020,1.5630812477305311
474,(주)나무가,190510,2021,1.5800577321904519
475,(주)나스미디어,089600,2016,1.8535698258272761
476,(주)나스미디어,089600,2017,2.5325237699046905
477,(주)나스미디어,089600,2018,1.3453492211272635
478,(주)나스미디어,089600,2019,1.3692878775208435
479,(주)나스미디어,089600,2020,1.1748879582615879
480,(주)나스미디어,089600,2021,1.2197784124399098
481,(주)나이스디앤비,130580,2015,2.58187334948385
482,(주)나이스디앤비,130580,2016,2.157940768752041
483,(주)나이스디앤비,130580,2017,2.8234792687748937
484,(주)나이스디앤비,130580,2018,2.1567476599734334
485,(주)나이스디앤비,130580,2019,1.8720335322447546
486,(주)나이스디앤비,130580,2020,1.944625957448827
487,(주)나이스디앤비,130580,2021,1.659417316356725
488,(주)나이스홀딩스,034310,2011,0.6768630962881085
489,(주)나이스홀딩스,034310,2012,0.6780162696779579
490,(주)나이스홀딩스,034310,2013,0.8869284479606235
491,(주)나이스홀딩스,034310,2014,0.9372860720496105
492,(주)나이스홀딩스,034310,2015,1.1196861537326812
493,(주)나이스홀딩스,034310,2016,0.9077721459534748
494,(주)나이스홀딩스,034310,2017,0.8181868349670854
495,(주)나이스홀딩스,034310,2018,0.8306929934016022
496,(주)나이스홀딩스,034310,2019,0.820167314153454
497,(주)나이스홀딩스,034310,2020,0.806349240920555
498,(주)나이스홀딩스,034310,2021,0.7725978988898954
499,(주)남선알미늄,008350,2011,0.971240380703109
500,(주)남선알미늄,008350,2018,1.4434742052693408
501,(주)남선알미늄,008350,2019,1.5396415677206763
502,(주)남선알미늄,008350,2020,2.093257550112924
503,(주)남선알미늄,008350,2021,1.1059680407257826
504,(주)남성,004270,2011,0.7488768687713928
505,(주)남성,004270,2012,0.7572949608791142
506,(주)남성,004270,2013,0.7574415125662388
507,(주)남성,004270,2014,0.8381957504854154
508,(주)남성,004270,2015,1.0201911272933637
509,(주)남성,004270,2016,0.9522784313229674
510,(주)남성,004270,2017,0.9614879259813038
511,(주)남성,004270,2018,0.931905554907392
512,(주)남성,004270,2019,1.115856004398852
513,(주)남성,004270,2020,1.419266170681721
514,(주)남성,004270,2021,0.9776261262804066
515,(주)내츄럴엔도텍,168330,2015,6.270184027769827
516,(주)내츄럴엔도텍,168330,2016,4.472653229679568
517,(주)내츄럴엔도텍,168330,2017,5.773374777347431
518,(주)내츄럴엔도텍,168330,2018,5.105871780098622
519,(주)내츄럴엔도텍,168330,2019,2.1771701141692863
520,(주)내츄럴엔도텍,168330,2020,1.7157622982595808
521,(주)내츄럴엔도텍,168330,2021,3.0272329193812206
522,(주)네오리진,094860,2011,1.3015420533694717
523,(주)네오리진,094860,2017,1.9505748142065935
524,(주)네오리진,094860,2021,2.628937014709697
525,(주)네오셈,253590,2019,1.169704058870172
526,(주)네오셈,253590,2020,2.3869581061166474
527,(주)네오셈,253590,2021,1.8025755267598753
528,(주)네오위즈,095660,2011,2.2406877771023597
529,(주)네오위즈,095660,2012,1.35357553173422
530,(주)네오위즈,095660,2013,1.1467559074902554
531,(주)네오위즈,095660,2014,1.555550925775128
532,(주)네오위즈,095660,2015,1.1981707220380993
