회사명,거래소코드,회계년도,[제조]   연구비(연결),[제조]   경상개발비(연결),[제조]매출액(영업수익)(*)
(주)기산텔레콤,035460,2017/12,0,3170865,29568090
(주)기산텔레콤,035460,2018/12,0,3807279,24864346
(주)기산텔레콤,035460,2019/12,0,3247047,30545683
(주)기산텔레콤,035460,2020/12,0,4100208,26787022
(주)기산텔레콤,035460,2021/12,0,3978030,18129277
(주)까뮤이앤씨,013700,2011/12,,,90048208
(주)까뮤이앤씨,013700,2012/12,,,90976586
(주)까뮤이앤씨,013700,2013/12,,,83568532
(주)까뮤이앤씨,013700,2014/12,,,123567918
(주)까뮤이앤씨,013700,2015/12,,,132370311
(주)까뮤이앤씨,013700,2016/12,,,139708060
(주)까뮤이앤씨,013700,2017/12,,,172176860
(주)까뮤이앤씨,013700,2018/12,,,116296828
(주)까뮤이앤씨,013700,2019/12,,,283420655
(주)까뮤이앤씨,013700,2020/12,,,161728918
(주)까뮤이앤씨,013700,2021/12,,,163686602
(주)까스텔바작,308100,2019/12,0,0,81068234
