회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),배당금_현금,[제조]      장기차입금(*)(IFRS),[제조]매출액증가율(IFRS)
(주)광명전기,017040,2020/12,149581712,7130296,650064,0,-9.98
(주)광명전기,017040,2021/12,150647821,-2088861,433376,0,9.08
(주)광무,029480,2011/12,85836111,9882003,,0,-37.27
(주)광무,029480,2012/12,60163490,-5777036,,0,-19.76
(주)광무,029480,2013/12,28890332,-759831,,0,-74.99
(주)광무,029480,2014/12,27862528,1529973,,0,280.1
(주)광무,029480,2015/12,21133216,-550286,,4070000,-54.05
(주)광무,029480,2016/12,29089768,154459,,4070000,49.76
(주)광무,029480,2017/12,28950503,247467,,0,-18.5
(주)광무,029480,2018/12,26017306,-889612,,0,-3.87
(주)광무,029480,2019/12,57156720,-2567529,,0,21.91
(주)광무,029480,2020/12,37073488,-1654541,,0,-0.94
(주)광무,029480,2021/12,99477306,-697351,,0,-27.33
(주)광주신세계,037710,2011/12,380753715,58007847,2000000,0,5.69
(주)광주신세계,037710,2012/12,430662968,56319963,2000000,0,-2.65
(주)광주신세계,037710,2013/12,656355808,57337481,2000000,0,-3.37
(주)광주신세계,037710,2014/12,652758688,50217757,2000000,0,-0.86
(주)광주신세계,037710,2015/12,659495158,52123039,2000000,0,0.25
(주)광주신세계,037710,2016/12,655502726,50122658,2000000,0,2.48
(주)광주신세계,037710,2017/12,655018971,51294766,2000000,0,-0.37
(주)광주신세계,037710,2018/12,696204982,53868560,4800000,0,-35.5
(주)광주신세계,037710,2019/12,752423111,74340570,5570033,0,14.54
(주)광주신세계,037710,2020/12,784428251,50700002,5570033,0,-4.76
(주)광주신세계,037710,2021/12,852280199,77532153,13527223,0,15.23
(주)구스앤홈,329050,2019/12,,,,,
(주)구스앤홈,329050,2020/12,,,,,
(주)구영테크,053270,2011/12,94940916,299063,,1616657,2.88
(주)구영테크,053270,2012/12,109440531,3400845,,2553333,4.68
(주)구영테크,053270,2013/12,97549406,6156243,,4034607,16.55
(주)구영테크,053270,2014/12,101546298,-1477205,,2915390,1.99
(주)구영테크,053270,2015/12,102761141,9373875,1837127,6356430,11.97
(주)구영테크,053270,2016/12,108895002,12368645,,13342430,-13.53
(주)구영테크,053270,2017/12,139584386,3339453,903894,29458970,-1.36
(주)구영테크,053270,2018/12,146492374,-2316059,740336,36387038,10.27
(주)구영테크,053270,2019/12,141034767,9760503,740336,28475278,13.68
(주)구영테크,053270,2020/12,151132791,8014471,740336,28884889,-8.9
(주)구영테크,053270,2021/12,150871224,8874095,740336,28871000,19.8
(주)국동,005320,2011/12,42291817,-547564,,0,-9.5
(주)국동,005320,2012/12,35813125,2881390,,0,-8.56
(주)국동,005320,2013/12,40194919,-1572579,,0,4.58
(주)국동,005320,2014/12,53392996,-1689994,,0,23.14
(주)국동,005320,2015/12,66242141,1327414,,0,-13.09
